Serial Number,Timestamp,Longitude,Latitude,PM1.0,PM2.5,Applied PM2.5 Custom Calibration Factor,PM4.0,PM10,Applied PM10 Custom Calibration Factor,PM0.5 NC,PM1.0 NC,PM2.5 NC,PM4.0 NC,PM10 NC,Typical Particle Size,PM Sensor Status,Temperature,Relative Humidity,Device Status
,UTC,,,ug/m3,ug/m3,,ug/m3,ug/m3,,#/cm3,#/cm3,#/cm3,#/cm3,#/cm3,um,,Celsius,%,
81432039050,12/31/2021 07:21,-78.93806341,36.00346491,3,3,,3,3,,22,26,26,26,26,0.53,0,25.6,36,0
81432039053,12/31/2021 07:21,-78.93799635,36.00350901,4,4,,4,4,,33,39,39,39,39,0.46,0,20.2,80,0
81432039050,12/31/2021 07:06,-78.93806341,36.00346491,3,3,,3,3,,23,27,27,27,27,0.51,0,25.5,36,0
81432039053,12/31/2021 07:06,-78.93799635,36.00350901,4,4,,4,4,,34,39,40,40,40,0.45,0,20.2,80,0
81432039050,12/31/2021 06:51,-78.93806341,36.00346491,3,3,,3,3,,23,27,27,27,27,0.51,0,25.5,36,0
81432039053,12/31/2021 06:51,-78.93799635,36.00350901,4,5,,5,5,,35,41,41,41,41,0.45,0,20.2,80,0
81432039053,12/31/2021 06:36,-78.93799635,36.00350901,4,5,,5,5,,35,41,41,41,41,0.46,0,20.2,80,0
81432039050,12/31/2021 06:36,-78.93806341,36.00346491,3,3,,3,3,,23,27,27,27,27,0.51,0,25.5,36,0
81432039053,12/31/2021 06:21,-78.93799635,36.00350901,4,5,,5,5,,35,41,41,41,41,0.45,0,20.1,81,0
81432039050,12/31/2021 06:21,-78.93806341,36.00346491,3,3,,3,3,,24,28,28,28,28,0.5,0,25.5,36,0
81432039053,12/31/2021 06:06,-78.93799635,36.00350901,5,5,,5,5,,37,43,43,43,43,0.45,0,20.2,81,0
81432039050,12/31/2021 06:06,-78.93806341,36.00346491,3,3,,3,3,,23,27,27,27,27,0.51,0,25.5,36,0
81432039050,12/31/2021 05:51,-78.93806341,36.00346491,3,3,,3,3,,24,28,28,28,28,0.51,0,25.5,36,0
81432039053,12/31/2021 05:51,-78.93799635,36.00350901,5,5,,5,5,,37,42,43,43,43,0.46,0,20.3,81,0
81432039050,12/31/2021 05:36,-78.93806341,36.00346491,3,3,,3,3,,24,28,28,28,28,0.54,0,25.5,36,0
81432039053,12/31/2021 05:36,-78.93799635,36.00350901,5,5,,5,5,,37,43,43,43,43,0.46,0,20.3,81,0
81432039050,12/31/2021 05:21,-78.93806341,36.00346491,3,3,,3,3,,23,27,27,27,27,0.51,0,25.5,36,0
81432039053,12/31/2021 05:21,-78.93799635,36.00350901,4,5,,5,5,,36,42,42,42,42,0.47,0,20.3,80,0
81432039050,12/31/2021 05:06,-78.93806341,36.00346491,3,3,,3,3,,23,26,26,26,26,0.5,0,25.5,36,0
81432039053,12/31/2021 05:06,-78.93799635,36.00350901,4,5,,5,5,,36,41,41,41,41,0.45,0,20.3,80,0
81432039053,12/31/2021 04:51,-78.93799635,36.00350901,4,5,,5,5,,35,41,41,41,41,0.45,0,20.3,81,0
81432039050,12/31/2021 04:51,-78.93806341,36.00346491,3,3,,3,3,,23,27,27,27,27,0.53,0,25.6,36,0
81432039050,12/31/2021 04:36,-78.93806341,36.00346491,3,3,,3,3,,23,27,27,27,27,0.53,0,25.6,36,0
81432039053,12/31/2021 04:36,-78.93799635,36.00350901,4,4,,4,4,,34,39,39,39,39,0.47,0,20.4,81,0
81432039050,12/31/2021 04:21,-78.93806341,36.00346491,3,3,,3,3,,22,26,26,26,26,0.52,0,25.6,36,0
81432039053,12/31/2021 04:21,-78.93799635,36.00350901,4,5,,5,5,,35,40,40,40,40,0.45,0,20.4,81,0
81432039053,12/31/2021 04:06,-78.93799635,36.00350901,4,5,,5,5,,35,40,40,40,40,0.45,0,20.4,81,0
81432039050,12/31/2021 04:06,-78.93806341,36.00346491,3,3,,3,3,,23,27,27,27,27,0.52,0,25.7,36,0
81432039050,12/31/2021 03:51,-78.93806341,36.00346491,3,3,,3,3,,24,27,27,27,27,0.51,0,25.5,36,0
81432039053,12/31/2021 03:51,-78.93799635,36.00350901,4,5,,5,5,,34,40,40,40,40,0.44,0,20.4,82,0
81432039050,12/31/2021 03:36,-78.93806341,36.00346491,3,3,,3,3,,24,28,28,28,28,0.51,0,25.6,36,0
81432039053,12/31/2021 03:36,-78.93799635,36.00350901,4,5,,5,5,,35,41,41,41,41,0.45,0,20.3,82,0
81432039050,12/31/2021 03:21,-78.93806341,36.00346491,3,3,,3,3,,24,28,28,28,28,0.53,0,25.7,36,0
81432039053,12/31/2021 03:21,-78.93799635,36.00350901,5,5,,5,5,,36,42,42,43,43,0.46,0,20.4,82,0
81432039053,12/31/2021 03:06,-78.93799635,36.00350901,5,5,,5,5,,36,42,43,43,43,0.45,0,20.4,82,0
81432039050,12/31/2021 03:06,-78.93806341,36.00346491,3,3,,3,3,,24,28,28,28,28,0.52,0,25.7,36,0
81432039050,12/31/2021 02:51,-78.93806341,36.00346491,3,3,,3,3,,26,30,30,30,30,0.54,0,25.6,36,0
81432039053,12/31/2021 02:51,-78.93799635,36.00350901,5,5,,5,5,,38,44,45,45,45,0.45,0,20.4,83,0
81432039053,12/31/2021 02:36,-78.93799635,36.00350901,5,5,,5,5,,40,46,46,46,46,0.45,0,20.4,83,0
81432039050,12/31/2021 02:36,-78.93806341,36.00346491,3,4,,4,4,,27,31,32,32,32,0.54,0,25.6,36,0
81432039050,12/31/2021 02:21,-78.93806341,36.00346491,4,4,,4,4,,28,33,33,33,33,0.53,0,25.5,36,0
81432039053,12/31/2021 02:21,-78.93799635,36.00350901,5,6,,6,6,,43,50,50,50,50,0.46,0,20.4,84,0
81432039053,12/31/2021 02:06,-78.93799635,36.00350901,6,6,,6,6,,47,55,55,55,55,0.45,0,20.4,84,0
81432039050,12/31/2021 02:06,-78.93806341,36.00346491,4,4,,4,4,,29,34,34,34,34,0.54,0,25.5,36,0
81432039050,12/31/2021 01:51,-78.93806341,36.00346491,4,4,,4,4,,31,36,36,36,36,0.54,0,25.6,36,0
81432039053,12/31/2021 01:51,-78.93799635,36.00350901,6,7,,7,7,,50,58,58,58,58,0.46,0,20.4,84,0
81432039050,12/31/2021 01:36,-78.93806341,36.00346491,4,4,,4,4,,31,36,36,36,36,0.53,0,25.6,36,0
81432039053,12/31/2021 01:36,-78.93799635,36.00350901,7,7,,7,7,,53,61,62,62,62,0.47,0,20.3,84,0
81432039050,12/31/2021 01:21,-78.93806341,36.00346491,4,4,,4,4,,33,38,38,38,38,0.54,0,25.7,36,0
81432039053,12/31/2021 01:21,-78.93799635,36.00350901,7,7,,7,7,,56,65,66,66,66,0.46,0,20.3,84,0
81432039050,12/31/2021 01:06,-78.93806341,36.00346491,4,4,,4,4,,33,38,38,38,38,0.51,0,25.6,36,0
81432039053,12/31/2021 01:06,-78.93799635,36.00350901,7,7,,7,7,,57,66,66,66,66,0.48,0,20.3,84,0
81432039050,12/31/2021 00:51,-78.93806341,36.00346491,4,4,,4,4,,31,36,36,36,36,0.52,0,25.6,36,0
81432039053,12/31/2021 00:51,-78.93799635,36.00350901,7,8,,8,8,,59,68,68,68,68,0.46,0,20.2,84,0
81432039053,12/31/2021 00:36,-78.93799635,36.00350901,7,8,,8,8,,60,70,70,70,70,0.47,0,20.2,84,0
81432039050,12/31/2021 00:36,-78.93806341,36.00346491,4,4,,4,4,,32,37,37,37,37,0.53,0,25.6,36,0
